Sum max_outputs:	 7499.999999999998 

ID:1 	 x=21, y=18, output=51.94411629, battery=False 
ID:2 	 x=47, y=50, output=47.82087397, battery=False 
ID:3 	 x=25, y=31, output=51.81241388, battery=False 
ID:4 	 x=27, y=38, output=53.11777253, battery=False 
ID:5 	 x=30, y=13, output=54.14676516, battery=False 
ID:6 	 x=48, y=4, output=45.24272018, battery=False 
ID:7 	 x=32, y=18, output=46.74039375, battery=False 
ID:8 	 x=49, y=15, output=54.75398768, battery=False 
ID:9 	 x=3, y=9, output=47.72196575, battery=False 
ID:10 	 x=46, y=40, output=51.86891316, battery=False 
ID:11 	 x=3, y=25, output=46.8033198, battery=False 
ID:12 	 x=1, y=32, output=54.99730646, battery=False 
ID:13 	 x=32, y=3, output=47.04037014, battery=False 
ID:14 	 x=32, y=49, output=50.25432556, battery=False 
ID:15 	 x=30, y=14, output=45.54596912, battery=False 
ID:16 	 x=39, y=34, output=49.93506537, battery=False 
ID:17 	 x=3, y=24, output=49.07862835, battery=False 
ID:18 	 x=43, y=45, output=54.18469088, battery=False 
ID:19 	 x=1, y=28, output=46.63089313, battery=False 
ID:20 	 x=15, y=0, output=48.43740503, battery=False 
ID:21 	 x=30, y=32, output=52.92581641, battery=False 
ID:22 	 x=18, y=10, output=53.98009231, battery=False 
ID:23 	 x=21, y=46, output=52.91142802, battery=False 
ID:24 	 x=21, y=33, output=46.75613739, battery=False 
ID:25 	 x=39, y=42, output=47.34915773, battery=False 
ID:26 	 x=17, y=21, output=46.26812357, battery=False 
ID:27 	 x=12, y=21, output=53.63368373, battery=False 
ID:28 	 x=17, y=34, output=52.96938435, battery=False 
ID:29 	 x=46, y=39, output=46.60969509, battery=False 
ID:30 	 x=33, y=35, output=45.84094791, battery=False 
ID:31 	 x=43, y=41, output=51.95373609, battery=False 
ID:32 	 x=15, y=36, output=54.30849405, battery=False 
ID:33 	 x=18, y=24, output=54.2211502, battery=False 
ID:34 	 x=16, y=37, output=52.58547404, battery=False 
ID:35 	 x=47, y=35, output=46.9524009, battery=False 
ID:36 	 x=42, y=4, output=53.46156177, battery=False 
ID:37 	 x=3, y=33, output=49.79974209, battery=False 
ID:38 	 x=41, y=24, output=51.75273225, battery=False 
ID:39 	 x=4, y=48, output=48.27297674, battery=False 
ID:40 	 x=1, y=45, output=54.91354462, battery=False 
ID:41 	 x=27, y=10, output=50.04190502, battery=False 
ID:42 	 x=28, y=48, output=54.22966024, battery=False 
ID:43 	 x=11, y=23, output=48.85814641, battery=False 
ID:44 	 x=1, y=48, output=54.54461427, battery=False 
ID:45 	 x=43, y=29, output=47.94582721, battery=False 
ID:46 	 x=38, y=3, output=49.86535747, battery=False 
