Sum max_outputs:	 7500.000000019998 

________________________Batteries__________________________
ID:1 	 ID= 1, x=19, y=20, capacity=1508.25, to houses=[]
 
ID:2 	 ID= 2, x=1, y=36, capacity=1508.25, to houses=[]
 
ID:3 	 ID= 3, x=34, y=49, capacity=1508.25, to houses=[]
 
ID:4 	 ID= 4, x=41, y=21, capacity=1508.25, to houses=[]
 
ID:5 	 ID= 5, x=26, y=22, capacity=1508.25, to houses=[]
 
________________________Houses_____________________________
ID:1 	 ID= 1, x=44, y=6, output=48.76400191, battery=False
 
ID:2 	 ID= 2, x=13, y=35, output=44.09168174, battery=False
 
ID:3 	 ID= 3, x=27, y=6, output=38.4723184, battery=False
 
ID:4 	 ID= 4, x=14, y=21, output=36.40331775, battery=False
 
ID:5 	 ID= 5, x=50, y=40, output=44.36102572, battery=False
 
ID:6 	 ID= 6, x=15, y=40, output=55.71262043, battery=False
 
ID:7 	 ID= 7, x=36, y=36, output=45.9622578, battery=False
 
ID:8 	 ID= 8, x=3, y=4, output=36.90684143, battery=False
 
ID:9 	 ID= 9, x=26, y=48, output=49.9985406, battery=False
 
ID:10 	 ID= 10, x=44, y=18, output=63.12038188, battery=False
 
ID:11 	 ID= 11, x=32, y=41, output=63.7118043, battery=False
 
ID:12 	 ID= 12, x=33, y=5, output=56.91378259, battery=False
 
ID:13 	 ID= 13, x=31, y=19, output=40.60892953, battery=False
 
ID:14 	 ID= 14, x=4, y=1, output=35.82814756, battery=False
 
ID:15 	 ID= 15, x=48, y=26, output=36.88169378, battery=False
 
ID:16 	 ID= 16, x=10, y=4, output=64.52218421, battery=False
 
ID:17 	 ID= 17, x=14, y=40, output=39.38884807, battery=False
 
ID:18 	 ID= 18, x=17, y=9, output=49.84931475, battery=False
 
ID:19 	 ID= 19, x=47, y=30, output=61.0137363, battery=False
 
ID:20 	 ID= 20, x=16, y=47, output=62.28650955, battery=False
 
ID:21 	 ID= 21, x=32, y=4, output=36.98224478, battery=False
 
ID:22 	 ID= 22, x=8, y=19, output=64.06758851, battery=False
 
ID:23 	 ID= 23, x=15, y=19, output=41.79763764, battery=False
 
ID:24 	 ID= 24, x=32, y=8, output=56.03098521, battery=False
 
ID:25 	 ID= 25, x=45, y=12, output=64.50983467, battery=False
 
ID:26 	 ID= 26, x=50, y=29, output=53.17296019, battery=False
 
ID:27 	 ID= 27, x=4, y=40, output=36.37710418, battery=False
 
ID:28 	 ID= 28, x=40, y=32, output=55.38231616, battery=False
 
ID:29 	 ID= 29, x=48, y=41, output=61.3949773, battery=False
 
ID:30 	 ID= 30, x=36, y=32, output=52.84858044, battery=False
 
ID:31 	 ID= 31, x=25, y=5, output=37.73044496, battery=False
 
ID:32 	 ID= 32, x=41, y=2, output=47.48157843, battery=False
 
ID:33 	 ID= 33, x=50, y=18, output=36.13312321, battery=False
 
ID:34 	 ID= 34, x=21, y=37, output=47.33240149, battery=False
 
ID:35 	 ID= 35, x=45, y=50, output=57.24475908, battery=False
 
ID:36 	 ID= 36, x=40, y=29, output=63.05172666, battery=False
 
ID:37 	 ID= 37, x=5, y=29, output=40.77396592, battery=False
 
ID:38 	 ID= 38, x=5, y=3, output=54.13000914, battery=False
 
ID:39 	 ID= 39, x=33, y=28, output=57.01992312, battery=False
 
ID:40 	 ID= 40, x=8, y=42, output=49.57599547, battery=False
 
ID:41 	 ID= 41, x=9, y=26, output=48.83351279, battery=False
 
ID:42 	 ID= 42, x=31, y=15, output=64.4517609, battery=False
 
ID:43 	 ID= 43, x=23, y=10, output=39.91374306, battery=False
 
ID:44 	 ID= 44, x=14, y=48, output=64.79397046, battery=False
 
ID:45 	 ID= 45, x=49, y=7, output=58.44840778, battery=False
 
ID:46 	 ID= 46, x=43, y=40, output=52.20518124, battery=False
 
ID:47 	 ID= 47, x=37, y=18, output=51.14671974, battery=False
 
ID:48 	 ID= 48, x=0, y=38, output=41.12708974, battery=False
 
ID:49 	 ID= 49, x=29, y=28, output=48.50865344, battery=False
 
ID:50 	 ID= 50, x=28, y=5, output=59.78619507, battery=False
 
ID:51 	 ID= 51, x=20, y=2, output=39.31626881, battery=False
 
ID:52 	 ID= 52, x=47, y=27, output=58.76139914, battery=False
 
ID:53 	 ID= 53, x=25, y=16, output=63.73606908, battery=False
 
ID:54 	 ID= 54, x=1, y=1, output=52.204709, battery=False
 
ID:55 	 ID= 55, x=27, y=5, output=36.7394839, battery=False
 
ID:56 	 ID= 56, x=26, y=18, output=39.8339645, battery=False
 
ID:57 	 ID= 57, x=47, y=19, output=40.4929237, battery=False
 
